2024-12-09 08:22:45.018 UTC [51] LOG:  execute <unnamed>: SET extra_float_digits = 3
2024-12-09 08:22:45.018 UTC [51] LOG:  duration: 0.016 ms
2024-12-09 08:22:45.019 UTC [51] LOG:  duration: 0.014 ms
2024-12-09 08:22:45.019 UTC [51] LOG:  duration: 0.005 ms
2024-12-09 08:22:45.019 UTC [51] LOG:  execute <unnamed>: SET application_name = 'PostgreSQL JDBC Driver'
2024-12-09 08:22:45.019 UTC [51] LOG:  duration: 0.021 ms
2024-12-09 08:22:45.575 UTC [52] LOG:  connection received: host=172.18.0.1 port=51588
2024-12-09 08:22:45.578 UTC [52] LOG:  connection authorized: user=myuser database=currency_db
2024-12-09 08:22:45.581 UTC [52] LOG:  duration: 0.070 ms
2024-12-09 08:22:45.581 UTC [52] LOG:  duration: 0.007 ms
2024-12-09 08:22:45.581 UTC [52] LOG:  execute <unnamed>: SET extra_float_digits = 3
2024-12-09 08:22:45.581 UTC [52] LOG:  duration: 0.015 ms
2024-12-09 08:22:45.582 UTC [52] LOG:  duration: 0.013 ms
2024-12-09 08:22:45.582 UTC [52] LOG:  duration: 0.004 ms
2024-12-09 08:22:45.583 UTC [52] LOG:  execute <unnamed>: SET application_name = 'PostgreSQL JDBC Driver'
2024-12-09 08:22:45.583 UTC [52] LOG:  duration: 0.030 ms
2024-12-09 08:22:45.806 UTC [53] LOG:  connection received: host=172.18.0.1 port=51596
2024-12-09 08:22:45.809 UTC [53] LOG:  connection authorized: user=myuser database=currency_db
2024-12-09 08:22:45.812 UTC [53] LOG:  duration: 0.059 ms
2024-12-09 08:22:45.812 UTC [53] LOG:  duration: 0.007 ms
2024-12-09 08:22:45.812 UTC [53] LOG:  execute <unnamed>: SET extra_float_digits = 3
2024-12-09 08:22:45.812 UTC [53] LOG:  duration: 0.013 ms
2024-12-09 08:22:45.813 UTC [53] LOG:  duration: 0.037 ms
2024-12-09 08:22:45.813 UTC [53] LOG:  duration: 0.004 ms
2024-12-09 08:22:45.813 UTC [53] LOG:  execute <unnamed>: SET application_name = 'PostgreSQL JDBC Driver'
2024-12-09 08:22:45.813 UTC [53] LOG:  duration: 0.078 ms
2024-12-09 08:24:23.933 UTC [43] LOG:  duration: 0.045 ms
2024-12-09 08:24:23.933 UTC [43] LOG:  duration: 0.010 ms
